ReferenceID,Historic_Name,Duplicate?,Other_Name_s_,Other ID,Code Count,MATCH,NHRP GIS,NHRP 07_2024,NHL DB 07_2024,Primary Form,Form Year,Form Preparer,period metadata scrape,date metadata scrape,period text scrape,date text scrape,Periods_of_Significance,IGL Eras DRAFT,"Significant Years - Form, Date Ranges","Significant Years - Form, Specific",Significant Years - Metadata,bc,non standard period,Web PDF,OneDrive PDF,OneDrive PDF,Asset Link,Multiple_Name,Notes,NHRP_Listing_Date,NHL_Date,NHL_Year,Federal_Agency,National_Park,City,County,State,NHL Office,Address,Restricted,Significant_Person,Architect,Request_Type,Status,Secondary_Code,Areas_of_Significance_Metadata,Areas_of_Signifance_Nomination_Forms,Acknowledged,Multiculturalism,Erasure,Valorization,Colonization,Nation_Building,Settler_Colonization,Slavery,State_Formation,Racial_Capitalism,LAT,LON
14000782,"""Big Four"" House",,,,2,,14000782,14000782,14000782,NRHP Nomination,1974,,,,,,1800-1899,1800-1899,,1852;1878;1967,1852;1878;1967,,,https://s3.amazonaws.com/NARAprodstorage/lz/electronic-records/rg-079/NPS_CA/14000782_NHL.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/14000782_Big Four House.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/14000782_Big Four House.pdf,,,Building that the big RR magnets used while planning for western RR line that Lincoln authorized,10/15/1966,7/7/1961,1961,,,Sacramento,Sacramento,CA,,220-226 K St.,0,,,Single,Listed,NATIONAL HISTORIC LANDMARK,,TRANSPORTATION; POLITICS/GOVERNMENT,0,0,1,0,0,0,0,0,0,1,38.565,-121.442
14000280,1956 Grand Canyon TWA-United Airlines Aviation Accident Site,,,,3,,,14000280,14000280,NHL Nomination,1986,Ian Hough,,,,,June 30;1956-July 12;1956,,,1956,1956,,x,https://web.archive.org/web/20250131022002/https://www.tucsonfirefoundation.com/wp-content/uploads/2012/07/1956-GrandCanyonRedacted.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/14000280_1956 Grand Canyon TWA-United Airlines Aviation Accident Site.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/14000280_1956 Grand Canyon TWA-United Airlines Aviation Accident Site.pdf,,,,4/22/2014,4/22/2014,2014,,,Grand Canyon National Park,Coconino,AZ,,Address Restricted,1,,,Single,Listed,NATIONAL HISTORIC LANDMARK,,ART; MILITARY HISTORY; ARCHITECTURE,0,0,1,0,0,0,1,0,0,1,36.054,-112.12
93001538,69th Regiment Armory,,,,5,,93001538,93001538,93001538,NHL Nomination,1986,Nancy L. Todd,1900-1924,1906;1913,,,1900-1924,,1906-1945,1913;1917;1918;1941;1942;1943;1944;1945,1906;1913,,,https://npgallery.nps.gov/NRHP/GetAsset/f12020d0-0d9d-42a8-8dfe-39f25e3f45e6,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/93001538_69th Regiment Armory.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/93001538_69th Regiment Armory.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=f12020d0-0d9d-42a8-8dfe-39f25e3f45e6,Army National Guard Armories in New York State MPS,,1/28/1994,6/19/1996,1996,,,New York,New York,NY,Midatlantic,68 Lexington Ave.,0,,Hunt &amp; Hunt,Multiple,Listed,DATE RECEIVED/PENDING NOMINATION; NATIONAL HISTORIC LANDMARK,MILITARY;ARCHITECTURE;ART,LITERATURE,0,0,1,0,0,1,1,0,1,1,40.7412766,-73.984217
66000204,"Abbey, The-Joaquin Miller House",,Joaquin Miller Home,,3,,66000204,66000204,66000204,NRHP Nomination,1974,,1900-1924;1875-1899,1886;1913,,,1875-1899;1900-1924,,,,1886;1913,,,https://npgallery.nps.gov/NRHP/GetAsset/7315a83f-5d16-4eb8-85b8-a5212f34afbc,"https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000204_Abbey, The-Joaquin Miller House.pdf","https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000204_Abbey, The-Joaquin Miller House.pdf",https://npgallery.nps.gov/NRHP/AssetDetail/7315a83f-5d16-4eb8-85b8-a5212f34afbc,,,10/15/1966,12/29/1962,1962,,,Oakland,Alameda,CA,Southwest,Joaquin Miller Rd. and Sanborn Dr.,0,"Miller,Joaquin","Miller,Joaquin",Single,Listed,NATIONAL HISTORIC LANDMARK; NATIONAL HISTORIC LANDMARK BOUNDARY APPROVED,LITERATURE,,1,0,0,0,0,1,1,0,0,0,37.811828,-122.18994
76001158,Abbott Farm Archeological Site,,Abbott Farm Historic District,,0,,,76001158,76001158,,,,499-0 BC;1925-1949;499-0 AD,1936;1941,,,499-0 BC;1925-1949;499-0,,,,1936;1941,x,,checked - not available ,,,https://npgallery.nps.gov/NRHP/AssetDetail/5ecb3cfe-3a84-4294-b5de-e60c4ffd6961,,,12/8/1976,12/8/1976,1976,,,Trenton,Mercer,NJ,Northeast,Address Restricted,1,,,Single,Listed,NATIONAL HISTORIC LANDMARK,PREHISTORIC;SCIENCE,BLACK; LITERATURE,,,,,,,,,,,40.22,-74.766
76000686,"Abbott, Robert S., House",,,,4,,76000686,76000686,76000686,NRHP Nomination,1974,Lynne Gomez-Graves,1925-1949,1926;1940,,,1925-1949,,1870-1940;1926-1940,,1926;1940,,,https://npgallery.nps.gov/NRHP/GetAsset/0a642b55-d866-42f8-94dc-b20b706c1edd,"https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/76000686_Abbott, Robert S., House.pdf","https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/76000686_Abbott, Robert S., House.pdf",https://npgallery.nps.gov/NRHP/AssetDetail/0a642b55-d866-42f8-94dc-b20b706c1edd,,,12/8/1976,12/8/1976,1976,,,Chicago,Cook,IL,Great Lakes,"4742 Martin Luther King, Jr. Dr.",0,"Abbott,Robert S.",Unknown,Single,Listed,NATIONAL HISTORIC LANDMARK,BLACK;LITERATURE,,1,0,0,0,0,1,1,1,0,0,41.810022,-87.616187
66000497,Abo,,Abo State Monument;San Gregorio de Abo Mission;Abo Pueblo an,,3,,66000497,66000497,66000497,National Survey,1957,,1650-1699;1600-1649,1629;1670,,,1600-1649;1650-1699,,,,1629;1670,,,https://npgallery.nps.gov/NRHP/GetAsset/2ac065a7-940a-4108-b064-c088bd5df0bc/66000497_Text.pdf/66000497_Text.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000497_Abo.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000497_Abo.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=2ac065a7-940a-4108-b064-c088bd5df0bc,,,10/15/1966,6/13/1962,1962,NATIONAL PARK SERVICE,,Abo,Torrance,NM,Southwest,3 mi. W of Abo on U.S. 60,0,,Unknown,Single,Listed,DESIGNATED UNIT OF THE NATIONAL PARK SERVICE; NATIONAL HISTORIC LANDMARK,HISTORIC - ABORIGINAL;HISTORIC - NON-ABORIGINAL;RELIGION,MUSIC,0,0,0,1,1,0,1,0,0,0,34.4431224,-106.37511
66000674,Academy of Music,,American Academy of Music,,3,,66000674,66000674,66000674,NRHP Nomination,1982,"C. E. Shedd, Jr.",1850-1874,1855;1857,,,1850-1874,,,1855;1856;1857,1855;1857,,,https://npgallery.nps.gov/NRHP/GetAsset/bef1377b-059c-4af3-8661-9f63a945a61f,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000674_Academy of Music.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000674_Academy of Music.pdf,https://npgallery.nps.gov/NRHP/AssetDetail/bef1377b-059c-4af3-8661-9f63a945a61f,,,10/15/1966,12/29/1962,1962,,,Philadelphia,Philadelphia,PA,Midatlantic,Broad and Locust Sts.,0,,Lebrun &amp; Runge,Single,Listed,NATIONAL HISTORIC LANDMARK,ARCHITECTURE;PERFORMING ARTS,,0,0,1,0,0,1,1,0,0,0,39.948123,-75.164735
66000909,Accokeek Creek Site,,Moyaone,,0,,,66000909,66000909,,,,1600-1649;1499-1000 AD;1500-1599;1000 AD-999 BC;1000-2999 BC;3000-4999 BC,,,,1600-1649;1499-1000;1500-1599;1000-999 BC;1000-2999 BC;3000-4999 BC,,,,,x,,checked - not available ,,,https://npgallery.nps.gov/NRHP/AssetDetail/7799de00-7fe4-4d79-a151-a85562bef98d,,,10/15/1966,7/19/1964,1964,NATIONAL PARK SERVICE,Piscataway,Accokeek,Prince George's,MD,Northeast,Address Restricted,1,,,Single,Listed,NATIONAL HISTORIC LANDMARK; NATIONAL HISTORIC LANDMARK BOUNDARY APPROVED,PREHISTORIC;HISTORIC - ABORIGINAL,INVENTION,,,,,,,,,,,38.662,-76.991
76001679,"Acheson, Edward G., House",,,,2,,76001679,76001679,76001679,NRHP Nomination,1974,James Sheire,1850-1874,1890;1895,,,1850-1874,,1890-1895,,1890;1895,,,https://npgallery.nps.gov/NRHP/GetAsset/84fbebd1-e1fb-4bec-91f5-e295c961830c,"https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/76001679_Acheson, Edward G., House.pdf","https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/76001679_Acheson, Edward G., House.pdf",https://npgallery.nps.gov/NRHP/AssetDetail/84fbebd1-e1fb-4bec-91f5-e295c961830c,,,5/11/1976,5/11/1976,1976,,,Monongahela,Washington,PA,Midatlantic,908 Main St.,0,"Acheson,Edward G.",Unknown,Single,Listed,NATIONAL HISTORIC LANDMARK,INVENTION,EXPLORATION/SETTLEMENT; RELIGION,0,0,1,0,0,0,1,0,0,0,40.2053332,-79.932934
66000500,Acoma,,Acoma Pueblo;Sky City;See Also:San Estevan del Ray Mission C,,3,,66000500,66000500,66000500,NRHP Nomination,1974,Francine Weiss,1499-1000 AD;1900-1750 AD;1749-1500 AD,1100,,,1499-1000;1900-1750;1749-1500,,1100-present,,1100,x,,https://npgallery.nps.gov/NRHP/GetAsset/4782f34a-67b0-4703-ad8f-d1efc039cd76,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000500_Acoma.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000500_Acoma.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=4782f34a-67b0-4703-ad8f-d1efc039cd76,,,10/15/1966,10/9/1960,1960,,,Casa Blanca,Valencia,NM,Southwest,13 mi. S of Casa Blanca on NM 23,0,,,Single,Listed,NATIONAL HISTORIC LANDMARK; NATIONAL HISTORIC LANDMARK BOUNDARY APPROVED,PREHISTORIC;HISTORIC - ABORIGINAL;EXPLORATION/SETTLEMENT;ARCHITECTURE;RELIGION,MILITARY,0,1,0,0,1,0,1,0,0,0,34.8954944,-107.59339
87000841,Adak Army Base and Adak Naval Operating Station,,Adak Naval Station (Naval Air Station Adak),,5,,87000841,87000841,87000841,NRHP Nomination,1982,Erwin N. Thompson,1925-1949,1942;1945,,,1925-1949,,1942-1945,,1942;1945,,,https://npgallery.nps.gov/NRHP/GetAsset/9bc0e547-e2bc-4bf8-ba35-766931a79535,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/87000841_Adak Army Base and Adak Naval Operating Station.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/87000841_Adak Army Base and Adak Naval Operating Station.pdf,https://npgallery.nps.gov/NRHP/AssetDetail/9bc0e547-e2bc-4bf8-ba35-766931a79535,,,2/27/1987,2/27/1987,1987,DEPARTMENT OF THE NAVY,,Adak Station,Aleutian Islands,AK,Alaska,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",0,,Unknown,Single,Listed,NATIONAL HISTORIC LANDMARK,MILITARY,ARCHITECTURE,0,0,0,1,1,1,1,0,1,0,51.90097848,-176.6286874
74000379,Adams Academy,,,,2,,74000379,74000379,74000379,NHL Nomination,1986,Dr. Margaret Henderson Floyd,1850-1874,1869,,,1850-1874,,1869-1871,1869,1869,,,https://npgallery.nps.gov/NRHP/GetAsset/9c938b78-1ac3-4692-abbf-3d8e9d7ea6c6,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/74000379_Adams Academy.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/74000379_Adams Academy.pdf,https://npgallery.nps.gov/NRHP/AssetDetail/9c938b78-1ac3-4692-abbf-3d8e9d7ea6c6,,,9/6/1974,4/19/1994,1994,,,Quincy,Norfolk,MA,New England,8 Adams St.,0,,Ware &amp; Van Brunt,Single,Listed,NATIONAL HISTORIC LANDMARK,ARCHITECTURE,INDUSTRY; ENGINEERING; SCIENCE; ARCHITECTURE,0,0,1,0,0,0,1,0,0,0,42.2537997,-71.005875
75001212,Adams Power Plant Transformer House,,,,4,,75001212,75001212,75001212,NRHP Nomination,1974,Ralph J. Christian,1950-1974;1900-1924;1875-1899;1925-1949,1895;1961,,,1950-1974;1900-1924;1875-1899;1925-1949,,1895-1961,,1895;1961,,,https://npgallery.nps.gov/NRHP/GetAsset/bccab15f-4fe0-4909-82a6-ca499a8883c2,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/75001212_Adams Power Plant Transformer House.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/75001212_Adams Power Plant Transformer House.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=bccab15f-4fe0-4909-82a6-ca499a8883c2,,,6/11/1975,5/4/1983,1983,,,Niagara Falls,Niagara,NY,Midatlantic,Buffalo Ave. near Portage Rd.,0,,"McKim,Mead &amp; White; Cataract Construction Co.",Single,Listed,NATIONAL HISTORIC LANDMARK,INDUSTRY;ENGINEERING;LITERATURE;ARCHITECTURE,POLITICS/GOVERNMENT,0,0,1,0,0,1,1,0,0,1,43.0818329,-79.042604
